filename,abs_angle,augmented,actual_words,detected_words,error
page3_angle_5_aug2.jpg,5,Yes,126,131,5
page4_angle_-5.jpg,5,No,125,128,3
page4_angle_-5_aug2.jpg,5,Yes,125,125,0
page4_angle_5.jpg,5,No,125,125,0
page4_angle_5_aug1.jpg,5,Yes,125,125,0
page4_angle_5_aug3.jpg,5,Yes,125,125,0
page5_angle_-5.jpg,5,No,122,117,5
page5_angle_-5_aug3.jpg,5,Yes,122,116,6
page5_angle_5.jpg,5,No,122,117,5
page5_angle_5_aug1.jpg,5,Yes,122,115,7
page5_angle_5_aug2.jpg,5,Yes,122,117,5
page5_angle_5_aug3.jpg,5,Yes,122,116,6
page6_angle_-5.jpg,5,No,126,129,3
page6_angle_-5_aug2.jpg,5,Yes,126,129,3
page6_angle_-5_aug3.jpg,5,Yes,126,129,3
page6_angle_5.jpg,5,No,126,128,2
page7_angle_-5.jpg,5,No,122,111,11
page7_angle_-5_aug2.jpg,5,Yes,122,107,15
page7_angle_5.jpg,5,No,122,108,14
page7_angle_5_aug1.jpg,5,Yes,122,108,14
page8_angle_-5.jpg,5,No,121,112,9
page8_angle_-5_aug1.jpg,5,Yes,121,113,8
page8_angle_-5_aug3.jpg,5,Yes,121,114,7
page8_angle_5.jpg,5,No,121,116,5
page8_angle_5_aug2.jpg,5,Yes,121,125,4
page8_angle_5_aug3.jpg,5,Yes,121,115,6
page9_angle_-5.jpg,5,No,121,111,10
page9_angle_5.jpg,5,No,121,108,13
page9_angle_5_aug2.jpg,5,Yes,121,108,13
page10_angle_-10.jpg,10,No,121,113,8
page10_angle_-10_aug1.jpg,10,Yes,121,115,6
page10_angle_-10_aug2.jpg,10,Yes,121,115,6
page10_angle_10.jpg,10,No,121,111,10
page11_angle_-10.jpg,10,No,124,120,4
page11_angle_-10_aug1.jpg,10,Yes,124,121,3
page11_angle_-10_aug2.jpg,10,Yes,124,125,1
page11_angle_10.jpg,10,No,124,120,4
page11_angle_10_aug2.jpg,10,Yes,124,123,1
page11_angle_10_aug3.jpg,10,Yes,124,120,4
page1_angle_-10.jpg,10,No,124,126,2
page1_angle_-10_aug1.jpg,10,Yes,124,126,2
page1_angle_-10_aug3.jpg,10,Yes,124,140,16
page1_angle_10.jpg,10,No,124,129,5
page2_angle_-10.jpg,10,No,124,118,6
page2_angle_-10_aug1.jpg,10,Yes,124,120,4
page2_angle_-10_aug3.jpg,10,Yes,124,129,5
page2_angle_10.jpg,10,No,124,119,5
page2_angle_10_aug1.jpg,10,Yes,124,121,3
page2_angle_10_aug3.jpg,10,Yes,124,118,6
page3_angle_-10.jpg,10,No,126,127,1
page3_angle_-10_aug1.jpg,10,Yes,126,129,3
page3_angle_-10_aug3.jpg,10,Yes,126,128,2
page3_angle_10.jpg,10,No,126,127,1
page3_angle_10_aug2.jpg,10,Yes,126,131,5
page4_angle_-10.jpg,10,No,125,125,0
page4_angle_-10_aug2.jpg,10,Yes,125,133,8
page4_angle_10.jpg,10,No,125,128,3
page4_angle_10_aug2.jpg,10,Yes,125,128,3
page5_angle_-10.jpg,10,No,122,119,3
page5_angle_-10_aug2.jpg,10,Yes,122,118,4
page5_angle_-10_aug3.jpg,10,Yes,122,118,4
page5_angle_10.jpg,10,No,122,115,7
page5_angle_10_aug2.jpg,10,Yes,122,126,4
page5_angle_10_aug3.jpg,10,Yes,122,114,8
page6_angle_-10.jpg,10,No,126,127,1
page6_angle_-10_aug1.jpg,10,Yes,126,136,10
page6_angle_10.jpg,10,No,126,130,4
page6_angle_10_aug1.jpg,10,Yes,126,127,1
page7_angle_-10.jpg,10,No,122,109,13
page7_angle_-10_aug1.jpg,10,Yes,122,109,13
page7_angle_-10_aug3.jpg,10,Yes,122,113,9
page7_angle_10.jpg,10,No,122,110,12
page8_angle_-10.jpg,10,No,121,114,7
page8_angle_-10_aug1.jpg,10,Yes,121,115,6
page8_angle_-10_aug2.jpg,10,Yes,121,117,4
page8_angle_-10_aug3.jpg,10,Yes,121,114,7
page8_angle_10.jpg,10,No,121,115,6
page8_angle_10_aug2.jpg,10,Yes,121,109,12
page9_angle_-10.jpg,10,No,121,108,13
page9_angle_-10_aug2.jpg,10,Yes,121,112,9
page9_angle_10.jpg,10,No,121,109,12
page9_angle_10_aug2.jpg,10,Yes,121,115,6
page10_angle_-15.jpg,15,No,121,113,8
page10_angle_-15_aug1.jpg,15,Yes,121,114,7
page10_angle_-15_aug3.jpg,15,Yes,121,116,5
page10_angle_15.jpg,15,No,121,112,9
page10_angle_15_aug2.jpg,15,Yes,121,112,9
page10_angle_15_aug3.jpg,15,Yes,121,116,5
page11_angle_-15.jpg,15,No,124,120,4
page11_angle_-15_aug1.jpg,15,Yes,124,127,3
page11_angle_-15_aug2.jpg,15,Yes,124,119,5
page11_angle_-15_aug3.jpg,15,Yes,124,126,2
page11_angle_15.jpg,15,No,124,118,6
page11_angle_15_aug2.jpg,15,Yes,124,118,6
page11_angle_15_aug3.jpg,15,Yes,124,121,3
page1_angle_-15.jpg,15,No,124,127,3
page1_angle_-15_aug1.jpg,15,Yes,124,131,7
page1_angle_-15_aug2.jpg,15,Yes,124,128,4
page1_angle_-15_aug3.jpg,15,Yes,124,130,6
page1_angle_15.jpg,15,No,124,128,4
page1_angle_15_aug3.jpg,15,Yes,124,134,10
page2_angle_-15.jpg,15,No,124,117,7
page2_angle_-15_aug2.jpg,15,Yes,124,122,2
page2_angle_-15_aug3.jpg,15,Yes,124,133,9
page2_angle_15.jpg,15,No,124,118,6
page2_angle_15_aug1.jpg,15,Yes,124,122,2
page2_angle_15_aug3.jpg,15,Yes,124,125,1
page3_angle_-15.jpg,15,No,126,130,4
page3_angle_-15_aug1.jpg,15,Yes,126,127,1
page3_angle_-15_aug3.jpg,15,Yes,126,129,3
page3_angle_15.jpg,15,No,126,126,0
page3_angle_15_aug2.jpg,15,Yes,126,129,3
page4_angle_-15.jpg,15,No,125,126,1
page4_angle_-15_aug1.jpg,15,Yes,125,132,7
page4_angle_-15_aug2.jpg,15,Yes,125,129,4
page4_angle_-15_aug3.jpg,15,Yes,125,125,0
page4_angle_15.jpg,15,No,125,129,4
page4_angle_15_aug2.jpg,15,Yes,125,133,8
page5_angle_-15.jpg,15,No,122,118,4
page5_angle_-15_aug1.jpg,15,Yes,122,116,6
